Thu 16 May 2024 11:26:17 AM BST
Wrote profile results to run.py.prof
         3279994 function calls (3269910 primitive calls) in 1.426 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:276(LogRecord)
        2    0.000    0.000    0.003    0.002 __init__.py:28(logger)
        1    0.000    0.000    0.000    0.000 __init__.py:291(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:3(<module>)
       77    0.003    0.000    0.006    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:318(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:327(<listcomp>)
        1    0.001    0.001    0.001    0.001 __init__.py:330(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:335(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:339(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:339(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:34(DummyProcess)
        1    0.000    0.000    0.000    0.000 __init__.py:367(_FuncPtr)
       10    0.000    0.000    0.000    0.000 __init__.py:383(__getattr__)
      328    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:39(<listcomp>)
       10    0.000    0.000    0.000    0.000 __init__.py:390(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:396(PyDLL)
        2    0.000    0.000    0.002    0.001 __init__.py:4(<module>)
       38    0.000    0.000    0.000    0.000 __init__.py:40(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:405(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:417(PercentStyle)
        2    0.000    0.000    0.000    0.000 __init__.py:424(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:430(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:436(LibraryLoader)
        1    0.000    0.000    0.000    0.000 __init__.py:437(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:437(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:47(create_string_buffer)
        1    0.000    0.000    0.000    0.000 __init__.py:475(StringTemplateStyle)
        3    0.000    0.000    0.000    0.000 __init__.py:498(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:499(CFunctionType)
        5    0.000    0.000    0.000    0.000 __init__.py:506(cast)
        1    0.000    0.000    0.000    0.000 __init__.py:511(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:514(Formatter)
        2    0.000    0.000    0.000    0.000 __init__.py:559(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:635(levy_stable_gen)
        1    0.000    0.000    0.000    0.000 __init__.py:692(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:734(Filter)
        7    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:771(Filterer)
       10    0.000    0.000    0.000    0.000 __init__.py:776(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:82(Namespace)
        4    0.000    0.000    0.000    0.000 __init__.py:843(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:853(Handler)
        4    0.000    0.000    0.000    0.000 __init__.py:862(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:88(extend)
        4    0.000    0.000    0.000    0.000 __init__.py:891(createLock)
        2    0.000    0.000    0.027    0.013 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:959(setFormatter)
        1    0.000    0.000    0.000    0.000 __main__.py:28(<module>)
        1    0.000    0.000    0.000    0.000 __main__.py:60(_WorkerProcess)
        2    0.000    0.000    0.002    0.001 _add_newdocs.py:1(<module>)
      263    0.000    0.000    0.000    0.000 _add_newdocs.py:18(add_newdoc)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6755(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(numeric_type_aliases)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:19(type_aliases_gen)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:54(_get_platform_and_machine)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:79(<genexpr>)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
        1    0.000    0.000    0.000    0.000 _arrays.py:1(<module>)
